POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,PRICE
Owner,0,0,4,BHK,2500,1,1,28.66667,77.41667,160
Dealer,1,1,4,BHK,2286.236854,0,1,21,77,100
Owner,0,1,2,BHK,1150.086256,1,1,28.577673,77.389781,60
Dealer,0,1,2,BHK,1004.932182,1,1,18.966114,73.148278,81.5
Owner,0,0,2,BHK,800,1,1,22.56972,88.36972,34
Dealer,1,0,3,BHK,993.75,0,1,26.706157,88.439748,31.8
Dealer,0,0,2,BHK,1298.139334,1,1,23.169982,77.477889,30
Dealer,0,1,2,BHK,996.797438,1,1,26.900926,75.775927,24.9
Owner,0,0,2,BHK,985.0194952,1,1,12.98556,77.66389,48
Dealer,0,0,3,BHK,1118.75,1,1,12.91716,80.19287,53.7
Dealer,0,1,2,BHK,889.8305085,1,1,28.506454,77.409568,42
Owner,0,0,3,BHK,2738.22563,1,1,12.863421,77.652405,150
Dealer,1,1,4,BHK,1725.490196,0,0,19.049513,72.919204,440
Dealer,1,1,3,BHK,2488.004265,0,1,30.654128,76.732427,140
Dealer,0,0,3,BHK,1200.082764,1,1,23.207157,88.404471,58
Dealer,0,0,2,BHK,1584.283904,1,1,26.459137,79.506922,100
Owner,0,0,2,BHK,900,1,1,23.2257,72.51679,18
Dealer,0,1,2,BHK,1193.440032,1,1,18.441256,74.647361,60.4
Owner,0,0,2,BHK,1487.357462,1,1,26.8626,75.7633,30
Owner,1,1,2,BHK,989.9029895,0,1,28.5035,77.426447,50
Dealer,0,0,2,BHK,1155.020213,1,1,19.147866,72.932609,140
Owner,0,0,2,BHK,949.893137,1,1,11.93,79.83,80
Owner,0,0,2,BHK,875,1,1,28.560719,77.386208,49
Dealer,0,0,2,BHK,853.3611982,1,1,12.96991,77.59796,24.5
Owner,0,0,1,BHK,483.0917874,1,1,18.4543,73.1147,18
Dealer,0,0,2,BHK,800,1,1,19.18,72.96333,95
Owner,0,0,2,BHK,802.0415603,1,1,28.66667,77.41667,22
Dealer,0,1,2,BHK,610.0660905,1,1,13.069866,80.198423,48
Owner,0,0,3,BHK,1680.107527,1,1,28.861993,78.756315,75
Owner,0,0,2,BHK,1150.136038,1,1,19.980678,79.297436,93
Owner,0,0,3,BHK,1550.114497,1,1,28.576117,77.382136,88
Owner,0,0,5,BHK,1699.834163,1,1,28.6711,77.3683,82
Owner,1,0,3,BHK,1600.170685,0,1,9.952439,76.3632965,75
Owner,0,0,1,BHK,600.0566091,1,1,18.75,73.08,21.2
Dealer,0,1,2,BHK,1429.200617,1,1,30.661104,76.746082,64.9
Owner,0,0,2,BHK,1115.137998,1,1,13.008071,77.651295,80
Dealer,0,0,4,BHK,2750.929368,1,1,27.216013,77.950834,74
Owner,0,0,3,BHK,1811.196487,1,1,23.35556,85.33472,99
Owner,0,0,2,BHK,1045.036079,1,1,22.43917,88.39583,42
Dealer,0,0,3,BHK,3433.996566,1,1,28.403138,77.070052,340
Owner,0,0,3,BHK,1298.219585,1,1,12.840956,77.659441,70
Owner,1,1,2,BHK,1109.165207,0,1,13.278237,74.747328,38
Dealer,1,1,4,BHK,1304.034182,0,0,18.96,72.82,470
Dealer,0,1,2,BHK,1041.195111,1,1,28.59632,77.38143,46
Dealer,0,0,3,BHK,2135.748916,1,1,28.394375,77.357227,83.7
Owner,0,1,3,BHK,1850.180505,1,1,28.579004,77.431173,82
Dealer,0,0,3,BHK,1665.080875,1,1,23.166495,72.63429,70
Owner,0,1,2,BHK,398.2621289,1,1,26.707154,80.982346,11
Owner,0,0,2,BHK,1005.025126,1,1,12.80009,77.71182,48
Dealer,0,1,4,BHK,4900.959771,1,1,18.5438,73.9438,240
Dealer,0,1,2,BHK,1294.016156,1,1,19.128324,72.825408,330
Dealer,0,1,3,BHK,1536.806516,1,1,28.6423,77.3445,100
Owner,0,0,2,BHK,1123.188406,1,1,12.9816,77.6729,62
Dealer,0,0,2,BHK,800.1939864,1,1,26.955346,75.734793,16.5
Dealer,0,1,4,BHK,2655.807365,1,1,19.239813,72.962722,300
Dealer,0,0,3,BHK,1513.775356,1,1,12.905368,77.580403,100
Owner,0,0,3,BHK,1280,1,1,9.930471,76.271273,48
Owner,0,0,1,BHK,410.0678733,1,1,28.568846,77.324966,14.5
Dealer,0,0,4,BHK,3429.355281,1,1,22.312063,72.674296,100
Dealer,0,0,2,BHK,890.0451869,1,1,28.582887,77.339935,65
Owner,0,0,2,BHK,977.7082519,1,1,22.1764,75.8193,25
Dealer,0,0,2,BHK,1099.855282,1,1,12.977126,77.577724,38
Owner,1,0,2,BHK,1050.241272,0,1,26.29564,73.03943,37
Dealer,0,1,3,BHK,1400.241838,1,1,26.900926,75.775927,57.9
Dealer,0,0,3,BHK,1740.139211,1,1,19.048979,73.078232,180
Dealer,0,1,2,BHK,1149.131767,1,1,24.69028,78.41889,180
Dealer,0,0,2,BHK,650.1950585,1,1,11.026678,76.903583,20
Owner,0,0,2,BHK,1355.01355,1,1,26.878068,75.779856,85
Dealer,0,0,3,BHK,1800.072003,1,1,12.96991,77.59796,150
Dealer,0,1,2,BHK,907.6305221,1,1,21.56128,74.21238,33.9
Dealer,0,0,3,BHK,1636.296021,1,1,13.141581,77.749756,88
Owner,0,0,2,BHK,900.2520706,1,1,22.261354,73.215533,25
Owner,0,0,2,BHK,1318.044023,1,1,12.905538,77.694263,100
Dealer,0,1,3,BHK,1949.586451,1,1,30.684523,76.691728,99
Dealer,0,0,3,BHK,1643.36522,1,1,9.930471,76.271273,67
Dealer,0,0,3,BHK,1233.045623,1,1,18.96,72.82,210
Dealer,0,0,1,BHK,655.0802139,1,1,18.964489,73.019574,49
Owner,0,0,2,BHK,1180.173092,1,1,12.96991,77.59796,75
Owner,0,0,3,BHK,1200.087279,1,1,28.6711,77.3683,55
Dealer,0,0,4,BHK,6974.645114,1,1,22.53028,88.33417,1700
Owner,1,1,4,BHK,2700.075602,0,1,28.535689,77.359671,250
Owner,0,0,2,BHK,850.0991782,1,1,26.928785,75.828002,30
Dealer,1,1,4,BHK,2636.296531,0,1,12.8855,77.5638,250
Owner,0,0,2,BHK,900.0163639,1,1,12.928575,77.585721,55
Dealer,1,0,4,BHK,2472.952087,0,1,18.475864,73.890009,160
Dealer,0,0,2,BHK,904.0656205,1,1,20.098413,79.10786,50.7
Dealer,1,1,1,BHK,265.0033933,0,1,19.1145,72.8712,82
Dealer,1,1,3,BHK,1570.306924,0,1,26.16667,75.78333,110
Dealer,0,0,2,BHK,955.4140127,1,1,19.255098,72.9815265,150
Dealer,0,0,2,BHK,1000,1,1,28.593566,77.362752,60
Dealer,0,0,4,BHK,2494.747899,1,1,12.995285,77.766797,95
Owner,0,0,2,BHK,1150.130348,1,1,13.1101,80.2095,75
Dealer,0,0,2,BHK,1210.136674,1,1,19.0168,73.09646,85
Dealer,0,0,2,BHK,1365.001365,1,1,19.126499,72.99956,200
Dealer,1,1,2,BHK,499.6366279,0,0,19.255098,72.9815265,110
Dealer,0,0,2,BHK,1050.144395,1,1,22.271214,73.188827,40
Owner,0,0,1,BHK,476.0204689,1,1,13.020957,80.152774,40
Dealer,0,0,2,BHK,985.452839,1,1,28.538774,77.366515,21
Dealer,0,0,2,BHK,1045.296167,1,1,28.368269,77.37273,24
Dealer,1,1,2,BHK,1301.89498,0,1,12.86,77.786,90
Owner,0,0,2,BHK,2000,1,1,28.2102,76.8606,38
Dealer,1,1,4,BHK,4465.709729,0,1,28.526624,77.376718,280
Dealer,0,0,2,BHK,1192,1,1,20.286571,85.810906,59.6
Dealer,1,0,3,BHK,1846.153846,0,0,22.5922,88.484911,120
Dealer,1,0,1,BHK,448.5310608,0,1,19.221571,73.042474,120
Owner,0,0,2,BHK,750.0604887,1,1,28.66667,77.41667,31
Dealer,0,0,2,BHK,1060.070671,1,1,19.040066,73.115347,72
Dealer,0,1,3,BHK,1415.09434,1,1,12.8458,77.6727,79.5
Dealer,0,0,2,BHK,1160.062565,1,1,18.96,72.82,89
Dealer,0,0,3,BHK,1690.024732,1,1,19.1615,72.8731,410
Owner,1,0,3,BHK,1672.762741,0,1,28.495803,77.426848,68.6
Owner,0,0,2,BHK,1315.265046,1,1,20.606469,72.913465,33
Dealer,0,0,1,BHK,650.026001,1,1,19.245347,73.124577,50
Owner,0,0,1,BHK,540.1755571,1,1,19.585537,72.836868,16
Dealer,0,0,3,BHK,1830.065359,1,1,20.098413,79.10786,98
Dealer,0,0,3,BHK,1575.157516,1,1,28.66667,77.41667,70
Dealer,0,0,3,BHK,1530,1,1,12.904179,77.665897,76.5
Owner,0,0,2,BHK,619.6377502,1,1,12.758604,77.700377,26
Owner,0,0,4,BHK,2200,1,1,21.17,72.83,110
Dealer,0,0,3,BHK,1757.188498,1,1,40.67197199,-86.15292909,77
Dealer,0,1,2,BHK,1087.885617,1,1,19.239813,72.962722,140
Owner,0,0,2,BHK,1199.862873,1,1,12.880993,77.557654,70
Owner,0,0,2,BHK,1265.035255,1,1,13.033421,77.603954,61
Dealer,0,0,2,BHK,676.0453302,1,1,22.301625,88.242147,17.3
Owner,0,0,2,BHK,800,1,1,28.678014,77.38296,42
Owner,0,0,2,BHK,750.0750075,1,1,22.486821,88.233267,25
Dealer,0,1,2,BHK,1500,1,0,13.086769,80.191135,150
Dealer,0,0,3,BHK,1814.285714,1,1,20.257483,85.780142,88.9
Dealer,0,1,3,BHK,1195.652174,1,1,24.69028,78.41889,110
Dealer,0,0,3,BHK,1395.032324,1,1,26.900926,75.775927,41
Owner,0,0,2,BHK,850.1594049,1,1,19.696531,72.767746,24
Dealer,0,0,2,BHK,909.4339623,1,1,12.957707,80.183671,48.2
Owner,1,0,2,BHK,910.0937672,0,1,25.248438,83.014116,33
Dealer,0,0,3,BHK,1850.070303,1,1,12.96991,77.59796,250
Dealer,0,1,3,BHK,2069.857697,1,1,28.546788,77.378494,160
Dealer,0,1,2,BHK,820.0082001,1,1,19.18,72.96333,140
Dealer,0,0,2,BHK,1241.80752,1,1,23.182972,72.611485,36
Dealer,0,1,3,BHK,1014.120668,1,0,18.5438,73.9438,79
Dealer,0,0,4,BHK,2302.158273,1,1,30.697795,76.714722,160
Dealer,0,0,2,BHK,900.0782677,1,1,24.69028,78.41889,69
Builder,1,0,2,BHK,898.5074627,0,0,26.154874,91.670312,30.1
Dealer,0,0,3,BHK,2235.294118,1,1,26.91667,75.86667,190
Dealer,0,0,3,BHK,1350,1,1,28.5679,77.3679,81
Dealer,0,1,2,BHK,1100.110011,1,1,18.485487,73.803773,70
Dealer,0,1,1,BHK,612.1199755,1,1,12.8356,80.1682,30
Owner,0,0,2,BHK,1100.352113,1,1,20.892133,77.741664,25
Dealer,0,1,5,BHK,5194.805195,1,1,28.522931,77.357078,400
Dealer,0,0,3,BHK,1475.256769,1,1,28.506454,77.409568,79
Dealer,0,1,4,BHK,2780.191138,1,1,28.558047,77.392752,160
Builder,1,0,1,BHK,300.0260892,0,0,24.69028,78.41889,11.5
Owner,0,0,2,BHK,1000,1,1,17.7,83.25,50
Dealer,0,0,2,BHK,1532.720245,1,1,19.1615,72.8731,230
Dealer,1,1,2,BHK,995.8314034,0,0,22.311323,73.121275,21.5
Dealer,0,0,3,BHK,1646.706587,1,0,28.406794,76.936447,110
Dealer,0,0,4,BHK,2350.965575,1,1,30.664299,76.817624,56
Owner,0,0,3,BHK,534.061239,1,1,28.34532,77.299035,45
Dealer,1,1,2,BHK,1100,0,1,19.218498,72.992114,110
Dealer,0,0,3,BHK,1968.888889,1,1,26.16667,91.76667,88.6
Dealer,0,1,3,BHK,2196.354052,1,1,28.536585,77.383669,100
Dealer,0,1,4,BHK,2400,1,1,22.281215,70.789479,300
Dealer,0,0,2,BHK,1650.252861,1,1,18.49667,73.94167,62
Dealer,1,1,2,BHK,632.0572845,0,0,19.402549,72.854418,45.9
Owner,0,0,2,BHK,1034.965035,1,1,26.882832,81.033767,37
Dealer,0,0,2,BHK,965.0439631,1,1,18.96,72.82,90
Builder,1,1,2,BHK,600.5495224,0,0,24.69028,78.41889,45.9
Dealer,0,0,2,BHK,984.8484848,1,1,19.255098,72.9815265,130
Dealer,0,0,3,BHK,1700.060716,1,1,19.05871,72.89969,420
Dealer,0,1,1,BHK,546.0145604,1,0,19.18,72.96333,58.5
Dealer,0,0,2,BHK,1195.499297,1,1,22.55,72.9,17
Dealer,1,1,3,BHK,1677.468547,0,1,18.914541,72.818211,220
Dealer,0,1,3,BHK,1699.716714,1,1,28.629811,77.434197,48
Dealer,0,0,2,BHK,1075.027996,1,1,28.602325,77.401994,48
Dealer,1,1,1,BHK,485.790072,0,0,19.222101,72.988231,64.1
Owner,0,0,2,BHK,929.8998569,1,1,12.919423,77.522774,52
Dealer,0,0,3,BHK,1438.021283,1,1,19.124896,72.893503,600
Dealer,0,0,5,BHK,5299.954894,1,1,12.91668,77.59196,470
Dealer,0,1,2,BHK,1020.181859,1,1,13.055985,77.622157,46
Owner,0,0,2,BHK,1070.135002,1,1,28.6423,77.3445,65
Owner,0,0,2,BHK,2400.384061,1,1,13.603543,79.460402,50
Owner,0,0,3,BHK,1767.388826,1,1,17.546483,78.480303,77.5
Builder,1,1,1,BHK,524,0,0,18.6182,73.7447,26.2
Dealer,1,1,2,BHK,923.7875289,0,1,28.359199,76.836683,120
Dealer,0,0,3,BHK,1657.275439,1,1,12.9223,77.5532,100
Dealer,0,0,2,BHK,680,1,1,19.1759,72.9522,170
Owner,0,0,2,BHK,1100.478469,1,1,22.3301,73.1611,23
Dealer,0,1,3,BHK,1701.694915,1,0,21.152442,81.090184,50.2
Owner,0,0,1,BHK,451.0309278,1,1,28.689982,77.339807,14
Dealer,0,0,3,BHK,2727.856226,1,1,22.54111,88.33778,85
Owner,0,0,2,BHK,1000,1,1,18.11667,83.41667,30
Dealer,0,0,3,BHK,1790.18976,1,1,28.388225,76.946376,100
Owner,0,0,2,BHK,1100.352113,1,1,22.598675,88.438512,25
Dealer,0,1,2,BHK,1232.162459,1,1,28.381971,77.347688,44.9
Dealer,0,0,1,BHK,497.988891,1,1,26.13722,91.62778,26
Owner,0,0,3,BHK,1726.017442,1,1,12.995285,77.766797,95
Dealer,1,1,3,BHK,1320.052802,0,1,18.5438,73.9438,110
Owner,0,0,2,BHK,990.0990099,1,1,21.250076,81.660749,25
Dealer,0,0,1,BHK,675.0441375,1,1,24.69028,78.41889,65
Owner,0,0,2,BHK,674.0361283,1,1,10.5339,76.2085,25
Dealer,0,0,1,BHK,775.1114886,1,1,28.543278,77.358896,36.5
Dealer,0,0,2,BHK,718.1042049,1,1,19.12,72.91,180
Dealer,1,1,4,BHK,3200,0,1,28.429614,77.481711,180
Owner,0,1,2,BHK,945.1795841,1,1,24.586021,80.787404,30
Dealer,0,1,2,BHK,1089.028042,1,1,20.07911,73.911636,160
Dealer,0,1,2,BHK,942.1518749,1,1,12.96991,77.59796,50
Dealer,0,0,2,BHK,1370,1,1,19.980678,79.297436,82.2
Owner,0,0,2,BHK,1265.111049,1,1,9.90708,78.102316,90
Dealer,0,0,3,BHK,1394.31121,1,1,24.69028,78.41889,100
Dealer,1,0,2,BHK,800,0,1,12.80009,77.71182,27
Dealer,1,1,3,BHK,1505.144771,0,1,30.662283,76.822397,62.9
Owner,0,0,3,BHK,1067.270375,1,1,25.232239,71.392013,33
Owner,0,0,3,BHK,1400.059577,1,1,12.913771,77.768321,94
Dealer,0,0,1,BHK,728.9473684,1,1,26.807408,75.838659,27.7
Dealer,0,1,3,BHK,1293.103448,1,0,26.900926,75.775927,37.5
Builder,1,1,3,BHK,106469.0027,0,0,24.69028,78.41889,9480
Dealer,0,0,3,BHK,2939.624633,1,1,28.403138,77.070052,390
Dealer,0,1,2,BHK,1431.068385,1,1,30.661104,76.746082,65.5
Owner,0,0,3,BHK,1350.063532,1,1,12.96991,77.59796,85
Owner,0,0,1,BHK,750.1630789,1,1,21.189685,72.841062,23
Dealer,0,1,3,BHK,1170.074459,1,1,24.69028,78.41889,99
Owner,0,0,2,BHK,1121.076233,1,1,24.69028,78.41889,45
Dealer,0,0,4,BHK,1904.761905,1,1,30.714837,76.751896,100
Dealer,0,0,4,BHK,7054.132802,1,1,28.388225,76.946376,460
Dealer,0,0,2,BHK,950.0285009,1,1,19.1758,72.8643,150
Owner,0,0,2,BHK,969.9321048,1,1,12.852041,77.616315,40
Dealer,0,0,1,BHK,636.0078278,1,1,19.038205,73.06612,52
Dealer,0,0,4,BHK,4578.507945,1,1,12.929162,77.629041,340
Owner,0,0,1,BHK,700.0259269,1,1,18.5823,73.983,27
Dealer,0,0,3,BHK,1859.637775,1,1,19.218498,72.992114,230
Owner,0,0,3,BHK,1700.186606,1,1,31.097061,77.154897,82
Dealer,0,0,3,BHK,1847.187238,1,0,28.397468,76.945489,110
Dealer,0,1,1,BHK,509.5541401,1,0,18.966114,73.148278,40
Dealer,0,0,3,BHK,1427.424391,1,1,22.56972,88.36972,160
Owner,0,0,2,BHK,715.0518413,1,1,26.532207,75.520538,20
Owner,0,0,3,BHK,1393.214227,1,1,19.062322,72.880754,85
Owner,0,0,2,BHK,900.3215434,1,1,30.768683,76.650876,22.4
Dealer,0,0,2,BHK,1000,1,1,19.18,72.96333,120
Owner,0,0,2,BHK,800,1,1,26.209302,78.194369,35
Dealer,1,0,1,BHK,445.0304928,0,1,20.084522,72.900306,54
Owner,0,0,2,BHK,1125.175809,1,1,12.96991,77.59796,56
Dealer,0,0,2,BHK,1015.113918,1,1,19.283359,72.864964,90
Owner,0,1,2,BHK,1200.417537,1,1,23.185756,77.498465,23
Dealer,0,1,1,BHK,1060.147122,1,1,13.23,77.7,49
Owner,0,0,3,BHK,1654.846336,1,1,9.930471,76.271273,70
Dealer,0,0,3,BHK,1175.121811,1,1,22.54111,88.33778,41
Owner,0,0,1,BHK,412.0213282,1,1,20.379289,72.932048,8.5
Dealer,0,0,3,BHK,1877.435352,1,1,22.340396,73.19706,53
Dealer,1,0,2,BHK,1150.121065,0,1,50.817397,4.42145,38
Owner,0,0,2,BHK,910.0529101,1,1,22.281878,70.752639,43
Builder,1,1,2,BHK,1080,0,0,13.010349,77.712151,32.4
Dealer,0,1,3,BHK,1902.843071,1,1,12.96991,77.59796,170
Owner,0,0,1,BHK,850.4606662,1,1,22.1764,75.8193,12
Dealer,1,1,2,BHK,1051.223242,0,1,19.18,72.96333,110
Dealer,0,1,2,BHK,945.0617925,1,1,24.69028,78.41889,91
Owner,1,0,2,BHK,570.0958798,0,1,23.259859,77.427777,22
Dealer,0,0,2,BHK,1050.070432,1,1,19.049989,73.077321,82
Dealer,0,1,2,BHK,1785.060417,1,1,19.1145,72.8712,390
Owner,0,0,2,BHK,800,1,1,22.403867,88.470006,35
Owner,0,0,2,BHK,750.0551511,1,1,12.919987,77.489265,34
Dealer,0,0,2,BHK,1129.908619,1,1,28.409274,77.322293,91.5
Builder,1,1,4,BHK,2857.142857,0,0,22.1764,75.8193,120
Dealer,0,0,2,BHK,896.6801117,1,1,30.662283,76.822397,28.9
Owner,0,0,2,BHK,900.116144,1,1,16.198332,77.34239,31
Owner,0,0,3,BHK,1870.32419,1,1,28.874383,77.113251,75
Owner,0,0,2,BHK,1288.102262,1,1,13.0306,77.6485,78.6
Dealer,1,1,4,BHK,2461.538462,0,1,26.91868,75.750399,160
Dealer,0,0,2,BHK,1066.408143,1,1,22.288976,73.128222,22
Dealer,0,0,4,BHK,4299.996417,1,1,19.139348,72.820458,1200
Dealer,1,1,2,BHK,816.8491699,0,0,19.0167,72.8167,370
Dealer,0,0,2,BHK,1261.625556,1,1,28.874383,77.113251,31.2
Owner,0,0,2,BHK,1160.092807,1,1,13.0583,77.5732,45
Dealer,1,1,2,BHK,828.7063893,0,1,12.91668,77.59196,100
Owner,0,1,3,BHK,2015.021066,1,1,13.010349,77.712151,110
Dealer,0,0,3,BHK,2765.784114,1,1,26.928785,75.828002,67.9
Dealer,0,0,2,BHK,790.0334245,1,1,12.863492,77.74143,26
Builder,0,0,3,BHK,1358.024691,1,0,13.09,80.27,110
Owner,0,0,1,BHK,850.1594049,1,1,21.800275,72.604993,24
Dealer,0,0,2,BHK,1115.075825,1,1,18.973908,73.025106,100
Dealer,0,0,1,BHK,406.3088686,1,1,20.742166,80.104602,110
Dealer,0,0,2,BHK,1080.080235,1,1,22.519728,88.38573,70
Dealer,0,1,4,BHK,3621.234302,1,1,12.96991,77.59796,470
Dealer,1,1,6,BHK,10050.25126,0,1,28.548382,77.327819,1200
Dealer,0,0,3,BHK,1150.0069,1,1,19.05871,72.89969,250
Owner,0,1,3,BHK,2489.40678,1,1,12.980033,77.699328,94
Dealer,1,0,3,BHK,1894.179894,0,1,25.3945,81.8615,53.7
Dealer,0,0,4,BHK,4000,1,1,28.644695,77.338956,140
Dealer,0,1,2,BHK,1269.146608,1,1,22.727017,75.934041,40.6
Owner,0,1,4,BHK,3458.366587,1,1,28.560719,77.386208,260
Builder,0,1,2,BHK,835.2668213,1,0,29.9055,75.2547,25.2
Owner,0,0,2,BHK,1185.146168,1,1,22.54111,88.33778,90
Dealer,0,0,3,BHK,1289.872756,1,1,13.23,77.7,74
Dealer,0,0,3,BHK,2100,1,1,11.931023,79.828222,210
Dealer,0,0,4,BHK,3167.898627,1,1,21.189685,72.841062,150
Owner,0,0,4,BHK,433333.3333,1,1,9.893479,76.408774,65
Builder,0,0,2,BHK,845.007783,1,1,12.9974,80.0966,38
Dealer,0,0,1,BHK,850,1,1,21,77,27.2
Dealer,1,1,2,BHK,923.0100988,0,1,24.69028,78.41889,85
Owner,0,0,3,BHK,1490.312966,1,1,16.531879,80.670951,60
Owner,0,0,3,BHK,1480.019734,1,1,26.222384,85.862108,60
